Architecture,Application Type,Development Type,Development Platform,Language Type,Relative Size,Used Methodology,Agile Method Used,Resource Level,Package Customisation,Industry Sector,Effort,Project Elapsed Time,Project Inactive Time,Duration
Multi-tier / Client server,Software for machine control ,Enhancement,Multi,3GL,M1,Don't Know,,1,No,Financial,2076,4.2,0,4.2
Stand alone,Management Information System ,New Development,PC,4GL,M2,Yes,,2,No,Service Industry,6297,,,0
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,1405,7,5,7
Multi-tier,Service Order & Activation Management ,Enhancement,Multi,,S,,,1,,Communication,132,2.1,,2.1
Stand alone,,Enhancement,MF,3GL,XXS,Yes,,1,,Insurance,42,1,0.23,1
Stand alone,Transaction/Production System ,New Development,MF,4GL,M1,Yes,,4,No,Insurance,1248,7,0,7
Multi-tier,Transaction/Production System ,Enhancement,MF,3GL,M2,Yes,,1,No,,5971,14.7,0,14.7
Stand alone,Transaction/Production System ,New Development,MF,3GL,M1,Yes,,1,No,Banking,1935,7,0,7
,,New Development,,3GL,M2,Don't Know,,1,Don't Know,,1644,7,0,7
Client server,Management Information System ,New Development,,4GL,M1,Yes,,1,Yes,Communication,2335,3,,3
,Network Switch Provisioning ,Enhancement,,3GL,S,,,1,,,4544,,,0
,Transaction/Production System ,Enhancement,,4GL,M1,Yes,,1,,Communication,2345,8,,8
,Financial transaction process/accounting ,Enhancement,PC,3GL,M1,Don't Know,,1,No,Insurance,2800,5,0,5
Stand alone,Executive Information System ,New Development,PC,4GL,M1,Yes,,1,,Government,193,2,,2
Stand alone,Transaction/Production System ,Enhancement,,3GL,M1,Yes,,1,,Communication,11365,7,,7
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,131,1.8,,1.8
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,230,3,0.5,3
,,New Development,,3GL,M2,Don't Know,,1,Don't Know,,1129,6,0,6
,,New Development,PC,4GL,S,,,1,,Electronics & Computers,2976,7,,7
Stand alone,Printing Documentation Design ,Enhancement,MF,3GL,XXS,,,1,,Insurance,24,0.5,,0.5
Stand alone,Management Information System ,Enhancement,MF,3GL,M1,Yes,,1,No,Banking,2192,,,0
,Software for machine control ,Enhancement,,3GL,XS,,,1,,Manufacturing,250,24,,24
Client server,Business ,New Development,PC,,M1,Yes,,1,,Communication,1503,4,,4
Client server,Financial transaction process/accounting ,Enhancement,MR,3GL,S,No,,1,,Service Industry,360,4,,4
Stand alone,Transaction/Production System ,Re-development,MF,4GL,M2,Yes,,1,No,Government,5900,14,,14
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,3321,7,0,7
Client server,,Enhancement,MR,4GL,XS,,,1,,Electronics & Computers,538,7,0,7
Client server,,Enhancement,,4GL,S,,,1,,,384,1.2,0,1.2
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,243,13,,13
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,14573,21,,21
,,Not Defined,,3GL,M1,Yes,,1,,,2211,8,1,8
Client server,Customs Informations management ,Enhancement,Multi,3GL,M1,Yes,,3,No,Manufacturing,4885,5.4,,5.4
,relatively complex application ,Enhancement,MF,3GL,XXS,Yes,,1,,Communication,196,,,0
Multi-tier,Workflow support & management ,New Development,Multi,4GL,M1,Yes,,1,,Government,2877,4,0,4
Client server,Network Management Migration tool ,Enhancement,MR,4GL,S,Yes,,1,,Communication,1536,5,0,5
,Billing ,Enhancement,,3GL,S,Yes,,1,,Wholesale & Retail,1941,,,0
,Financial transaction process/accounting ,Enhancement,MR,3GL,M2,Don't Know,,1,No,Insurance,2409,6,0,6
,,Enhancement,,4GL,S,Don't Know,,1,Don't Know,,336,3,0,3
,Financial transaction process/accounting ,Enhancement,Multi,3GL,XXS,Yes,,1,,,40,0.39,,0.39
Stand alone,,New Development,MF,4GL,L,,,1,No,Communication,15749,6,,6
,,New Development,,4GL,M2,Don't Know,,1,Don't Know,,10670,20,0,20
Multi-tier with web public interface,,Enhancement,MR,4GL,M2,Yes,,1,,Communication,2260,8,,8
,,New Development,PC,4GL,S,Don't Know,,1,No,Banking,144,1.1,0,1.1
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1253,14,,14
Client server,After sales Follow up ,Enhancement,MR,3GL,M2,Yes,,,No,Manufacturing,2455,5.7,,5.7
Client server,Customer billing/relationship management Financial transaction process/accounting Electronic Data Interchange ,Enhancement,Multi,3GL,M1,Yes,,1,,Government,3746,9,0,9
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,S,Yes,,1,,,278,2,,2
Client server,relatively complex application ,Enhancement,Multi,4GL,M2,Yes,,1,,Communication,4668,,,0
,,Enhancement,,3GL,M1,,,1,,,2611,,,0
Stand alone,Dynamic calculation accessory drive and distribution ,Enhancement,,4GL,S,Yes,,3,Yes,Manufacturing,330,6.1,,6.1
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,,,1,,Banking,3569,,,0
,Financial transaction process/accounting ,Enhancement,MR,3GL,M2,Don't Know,,1,No,Communication,1472,1.9,0,1.9
,Financial transaction process/accounting ,New Development,PC,3GL,M1,,,1,,Banking,5373,9.1,,9.1
Client server,,New Development,PC,3GL,M2,,,1,,Electronics & Computers,10577,14,,14
Stand alone,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,2187,12,,12
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,S,Yes,,1,,,620,2.6,,2.6
Client server,Catalogue/register of things or events Document management Electronic Data Interchange ,Enhancement,Multi,3GL,M1,Yes,,1,,Government,3430,10,0,10
,Financial transaction process/accounting ,Enhancement,Multi,4GL,XS,Yes,,1,,,56,0.51,,0.51
Stand alone,Management Information System ,New Development,MF,3GL,S,No,,4,No,Electronics & Computers,1798,,,0
Stand alone,Fault Tolerance ,Enhancement,PC,4GL,M1,Don't Know,,1,Yes,Manufacturing,1013,,,0
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,419,21.6,,21.6
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,385,,,0
Stand alone,"Job, case, incident, project management Online analysis and reporting ",Enhancement,PC,4GL,M1,Yes,,1,,Government,1146,5,0,5
Multi-tier,,New Development,Multi,3GL,M1,Yes,,1,,Insurance,7345,3.3,0.27,3.3
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,1774,6,,6
,Web-based Application ,Enhancement,PC,3GL,,,,4,,Banking,1950,12,,12
Client server,Catalogue/register of things or events ,New Development,Multi,3GL,L,Yes,,1,,Government,71729,38,0,38
,Management Information System ,Enhancement,,,M2,Yes,,2,No,Insurance,18840,26,,26
,Mainframe ,Other,MF,3GL,M1,,,4,,,552,1.7,,1.7
Stand alone,Management Information System ,Enhancement,MF,4GL,S,Yes,,1,No,Financial,344,6,,6
,,Enhancement,MF,4GL,M2,Yes,,1,,Banking,592,5,0,5
,MS Business Platform ,Enhancement,,3GL,M2,,,1,,,35,,,0
Multi-tier with web public interface,diagnostic tools ,Enhancement,,3GL,S,Yes,,,Yes,Manufacturing,900,5.7,,5.7
Client server,,Enhancement,,4GL,S,,,1,,,353,1.8,0,1.8
,Financial transaction process/accounting ,New Development,MF,3GL,S,,,1,,Banking,8123,18.7,,18.7
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,S,,,1,No,Communication,1606,1,,1
Stand alone,Transaction/Production System ,New Development,MR,3GL,L,Yes,,4,,,492,3,,3
,Web-based Application ,New Development,PC,3GL,,,,4,,Electronics & Computers,528,1,,1
,,Enhancement,,4GL,M1,Don't Know,,1,Don't Know,,1400,5,0,5
,Financial transaction process/accounting ,New Development,MF,3GL,S,,,1,,Banking,4065,,,0
Stand alone,Transaction/Production System ,New Development,MF,3GL,S,Yes,,4,No,Manufacturing,296,3,0,3
Client server,Accounting ,Enhancement,MR,4GL,M1,Yes,,3,Yes,Manufacturing,3765,6,,6
Multi-tier / Client server,Stock control & order processing ,Enhancement,Multi,,M2,Don't Know,,1,No,Communication,1376,4.9,0,4.9
Stand alone,Communication systrem ,Enhancement,PC,3GL,,Yes,,4,,Communication,9340,4.6,0.4,4.6
,,New Development,MR,ApG,M2,Yes,,1,,Communication,579,35,25,35
Client server,Part management in factory ,New Development,MR,3GL,M2,Yes,,3,No,Manufacturing,10960,13.3,,13.3
Client server,Customer billing/relationship management ,New Development,Multi,3GL,M2,Yes,,1,,Government,4544,13,0,13
Multi-tier with web interface,relatively complex application ,Enhancement,Multi,4GL,M1,Yes,,1,,Communication,3107,,,0
Client server,Capacity management ,Enhancement,MR,3GL,M1,Yes,,,No,Manufacturing,2036,9.8,,9.8
Client server,Airport Weather Observation Systems Meteorological  events detection ,New Development,Multi,3GL,M1,,,4,,Service Industry,6943,17,,17
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M2,Don't Know,,1,No,Insurance,10341,3,0,3
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,S,,,1,,Communication,86,4.1,,4.1
,,Enhancement,MF,3GL,,Yes,,1,,Communication,351,4,0,4
Client server,Management Information System ,New Development,,4GL,M1,,,4,,Government,530,2,1,2
Client server,Workflow support & management Complex process control ,Enhancement,Multi,3GL,S,Yes,Yes,1,,Service Industry,4036,5,0,5
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,2170,10,,10
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,S,Yes,,1,,,410,3,,3
,,Enhancement,,3GL,S,Yes,,1,,Communication,4220,13,,13
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,18829,14,,14
,Financial transaction process/accounting ,New Development,MF,4GL,M1,Don't Know,,1,No,Insurance,1581,7.1,0,7.1
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,230,12.5,,12.5
,Transaction/Production System ,Enhancement,,4GL,S,Yes,,1,,Communication,296,1,,1
Multi-tier,Online. eSales ,Enhancement,Multi,,S,,,1,,Communication,77,4.2,,4.2
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M2,Don't Know,,1,No,Service Industry,1805,3,0,3
Client server,,Enhancement,,4GL,S,,,1,,,734,2.7,0,2.7
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,299,3,0,3
Client server,GUI for Protocol Protocol Enhancement ,Enhancement,Multi,3GL,S,Yes,,4,,Construction,2626,10,0,10
Client server,GUI for Protocol Protocol Enhancement ,Enhancement,Multi,3GL,S,Yes,,4,,Construction,2626,10,0,10
Stand alone,Management of Licences and Permits ,Enhancement,MF,ApG,M1,Yes,,1,,Government,3321,54.3,,54.3
Stand alone,Inventory gathering and Managing ,Enhancement,MR,4GL,M2,Yes,,1,,Communication,3214,10,,10
Client server,Workflow support & management ,New Development,MF,3GL,XL,Yes,,1,Yes,,16944,13.9,0,13.9
,,Enhancement,,,M1,Don't Know,,1,Don't Know,,901,4,0,4
,,New Development,,,M1,,,1,,Manufacturing,8772,17,0,17
Stand alone,Transaction/Production System ,Enhancement,MF,4GL,M1,Yes,,2,No,Insurance,1922,4,,4
,Embedded Systems ,New Development,,4GL,,,,4,,Wholesale & Retail,71946,9.4,,9.4
Stand alone,,Re-development,MF,3GL,M2,Yes,,2,No,Insurance,2082,24,0,24
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,M1,,,1,,Communication,401,4.4,,4.4
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,,Government,1103,21.6,,21.6
,,New Development,,3GL,M1,Don't Know,,1,Don't Know,,324,2,0,2
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1892,13,,13
Stand alone,Management Information System ,New Development,PC,4GL,M1,Yes,,4,No,Utilities,191,7,2,7
,Embedded system/real-time application ,Enhancement,MR,3GL,S,Yes,,1,,Manufacturing,2901,,,0
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,S,Yes,,1,,Financial,378,2.9,0,2.9
Client server,IT projet Management ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,1208,4.9,,4.9
,Embedded system/real-time application ,Enhancement,MF,3GL,XS,Yes,,1,,Communication,275,,,0
Client server,Transaction/Production System ,New Development,MF,2GL,M1,Yes,,1,Yes,,3562,7.6,0,7.6
Client server,Customer management ,New Development,Multi,3GL,L,Yes,,3,No,Manufacturing,51753,20,,20
,,Enhancement,MR,3GL,XS,,,1,,,947,4.1,,4.1
Stand alone,Management Information System ,New Development,MR,4GL,M2,No,,1,No,Government,1746,15,,15
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,1967,7.8,0,7.8
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,565,3.5,,3.5
,,Enhancement,,3GL,M1,,,1,,,1989,1.5,0,1.5
Multi-tier,Enterprise Management ,Enhancement,Multi,3GL,S,,,1,,Communication,392,4.4,,4.4
Stand alone,Reporting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,456,21.6,,21.6
Client server,Executive Information System ,Enhancement,MR,3GL,L,No,,1,Yes,Professional Services,202386,,,0
,Transaction/Production System ,Enhancement,,4GL,M1,No,,1,,Communication,3583,15,,15
,,New Development,,,S,Don't Know,,1,Don't Know,,340,2,0,2
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,XXS,Yes,,1,,,36,0.2,,0.2
,Transaction/Production System ,New Development,MF,3GL,M1,Yes,,1,No,Banking,3433,9,1,9
,Sales contact management ,New Development,MR,3GL,M2,Don't Know,,1,No,Banking,9058,8,0,8
,Financial transaction process/accounting ,Enhancement,Multi,4GL,S,Yes,,1,,,573,1.1,,1.1
Client server,Cars selling ,Enhancement,MR,3GL,S,Yes,,,No,Manufacturing,1587,4.3,,4.3
,Management Information System ,Re-development,MF,3GL,M1,Yes,,1,No,Utilities,6384,,,0
Stand alone,,New Development,MF,3GL,L,,,1,Yes,Mining,6972,27,,27
,,Enhancement,,4GL,M2,Don't Know,,1,Don't Know,,454,7,0,7
,relatively complex application ,Enhancement,MF,3GL,XS,Yes,,1,,Communication,449,,,0
Stand alone,Office Information System ,New Development,MF,3GL,M2,Yes,,1,No,Banking,2409,6,0,6
,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,389,2,0,2
Client server,Electronic Data Interchange ,New Development,MR,3GL,M2,Yes,,1,,Communication,395,2,,2
,Financial transaction process/accounting ,New Development,MF,3GL,M1,Don't Know,,1,No,Banking,6069,3,0,3
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,799,7,,7
Stand alone,Transaction/Production System ,New Development,PC,4GL,M1,No,,1,No,Wholesale & Retail,406,8,3,8
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,12696,11,,11
,,New Development,MF,4GL,M1,Yes,,1,,Banking,2373,24,17,24
Stand alone,Transaction/Production System ,Enhancement,MR,3GL,M1,Yes,,4,No,Financial,1717,3,,3
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,181,3.2,1.3,3.2
,,Enhancement,,4GL,S,,,1,,,491,,,0
,,New Development,,,M2,,,4,,,18054,16,,16
Stand alone,,Enhancement,MF,3GL,M1,Yes,,4,,Manufacturing,558,4,1,4
Stand alone,,Enhancement,MF,3GL,M2,Yes,,2,No,Insurance,300,10,,10
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,7511,9,,9
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1675,13,,13
Client server,Management of registration number ,Enhancement,MR,3GL,S,Yes,,,No,Manufacturing,2286,5.6,,5.6
Stand alone,Surveillance and security ,Enhancement,PC,3GL,S,,Yes,1,,Banking,88,12,,12
Stand alone,Telecom & network management ,Enhancement,PC,3GL,M1,,,1,,Communication,13981,16,1,16
,,Enhancement,,3GL,S,Don't Know,,1,Don't Know,,1200,8,0,8
,,New Development,PC,4GL,L,Don't Know,,1,No,Service Industry,12593,5.8,0,5.8
Multi-tier,Online analysis and reporting Embedded software - simple device control Telecom & network management ,Enhancement,Multi,3GL,M1,,,4,,Communication,7805,7,0,7
Stand alone,,Enhancement,MF,3GL,S,,,1,,Electronics & Computers,3099,6,,6
,,Enhancement,,,M2,Yes,,1,,Communication,554,4,,4
Stand alone,,Enhancement,MF,3GL,S,Yes,,1,,Manufacturing,1543,6,0,6
Multi-tier,Data Warehouse system ,Enhancement,Multi,3GL,M1,,,1,,Communication,288,4.9,,4.9
Multi-tier,Enterprise Management ,Enhancement,Multi,3GL,M1,,,1,,Communication,215,4.1,,4.1
,Financial transaction process/accounting ,New Development,Multi,3GL,M1,Yes,,1,,,2451,5.9,,5.9
Client server,Embedded system/real-time application ,Enhancement,Multi,3GL,M1,Yes,,1,,Manufacturing,1209,,,0
,Management Information System ,Enhancement,,4GL,M1,Yes,,1,,Communication,2151,8,,8
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,350,15,,15
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,M2,Yes,,1,,Financial,2115,2.5,1.2,2.5
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M1,Yes,,4,No,Insurance,1042,4,0,4
Stand alone,MiddleWare ,New Development,MF,3GL,M2,Yes,,1,,Government,5499,10,0,10
Client server,,New Development,MF,3GL,M2,,,4,,,9357,,,0
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,XS,,,1,No,Communication,716,2,,2
Stand alone,,New Development,PC,4GL,,Yes,,1,,Service Industry,1230,12,8,12
,Web-based Application ,New Development,PC,4GL,M2,,,4,,Banking,5144,,,0
,Catalogue/register of things or events ,New Development,MF,3GL,M1,Don't Know,,1,No,Banking,7808,39,0,39
Multi-tier / Client server,"Job, case, incident, project management ",New Development,Multi,4GL,L,Don't Know,,1,No,Insurance,4181,10,0,10
Client server,Quality of factory ,Enhancement,Multi,4GL,L,Yes,,3,Yes,Manufacturing,5348,12,,12
Multi-tier,Financial transaction process/accounting ,Enhancement,Multi,4GL,S,,,1,,Communication,260,7.8,,7.8
Client server,,New Development,PC,3GL,M1,,,4,,,4775,10,,10
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,S,Yes,,1,No,,2974,8.3,0,8.3
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,XS,Yes,,1,,,358,2,,2
Client server,,New Development,PC,4GL,XS,,,1,,Electronics & Computers,1037,5,,5
Client server,Management Information System ,Enhancement,,4GL,M1,No,,1,,Communication,1955,2,,2
Stand alone,,Enhancement,MF,ApG,S,,,2,No,Manufacturing,471,8,,8
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Don't Know,,1,No,Insurance,2280,4,0,4
,,Enhancement,Multi,ApG,S,Yes,,1,,Insurance,1183,12,9,12
Stand alone,Geographic or spatial information system Complex process control ,New Development,PC,4GL,S,Yes,,1,,Communication,1117,2,,2
Stand alone,Decision Support System ,Enhancement,MR,3GL,M1,Yes,,2,No,Manufacturing,700,5,,5
Client server,training Management ,New Development,MR,3GL,M2,Yes,,,No,Manufacturing,2916,6,,6
Client server,After sales Parts documentation ,New Development,PC,3GL,M2,Yes,,3,No,Manufacturing,5661,13.8,,13.8
,Protocols ,New Development,PC,3GL,,,,4,,Communication,8097,8.7,,8.7
Stand alone,Office Information System ,Enhancement,MR,4GL,M1,Yes,,1,,Communication,698,2,,2
,,New Development,MR,ApG,M2,Yes,,1,,Insurance,6274,12,9,12
Client server,Customer management ,Enhancement,,3GL,M1,Yes,,,No,Manufacturing,2283,6.2,,6.2
Multi-tier with web public interface,Catalogue/register of things or events Document management ,Re-development,PC,3GL,M2,Yes,,1,,Education,1103,13,3,13
Client server,,New Development,MR,3GL,M1,Yes,,3,No,Manufacturing,1269,7.2,,7.2
,,Enhancement,,4GL,M1,,,1,,,479,3.9,0,3.9
Client server,,New Development,Multi,3GL,M2,,,1,,Service Industry,16088,8,,8
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,M1,Yes,,1,,,1056,8,,8
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,51,0.5,0.1,0.5
Multi-tier,Customisation (Add-ons) to a Product Data Management System ,Enhancement,Multi,3GL,M1,,,1,,Construction,699,11,0,11
,Web-based Application ,New Development,PC,3GL,,,,4,,Government,16159,10.1,,10.1
Multi-tier,"Document management Financial transaction process/accounting Image, video or sound processing ",Enhancement,Multi,3GL,M1,Yes,,1,,Government,10157,27.6,0,27.6
